OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
11-9130,Postmasters and Mail Superintendents,broad,"13,770",0.3,37.04,"77,040",0.1,30.88,32.89,36.52,40.78,45.01,"64,220","68,410","75,970","84,810","93,630",,
11-9131,Postmasters and Mail Superintendents,detailed,"13,770",0.3,37.04,"77,040",0.1,30.88,32.89,36.52,40.78,45.01,"64,220","68,410","75,970","84,810","93,630",,
11-9140,"Property, Real Estate, and Community Association Managers",broad,"202,550",1.3,34.49,"71,730",0.9,14.28,19.81,28.05,40.92,60.67,"29,700","41,210","58,340","85,120","126,200",,
11-9141,"Property, Real Estate, and Community Association Managers",detailed,"202,550",1.3,34.49,"71,730",0.9,14.28,19.81,28.05,40.92,60.67,"29,700","41,210","58,340","85,120","126,200",,
11-9150,Social and Community Service Managers,broad,"149,870",1.2,34.46,"71,670",0.5,19.58,24.57,31.41,41.43,53.44,"40,720","51,100","65,320","86,170","111,150",,
11-9151,Social and Community Service Managers,detailed,"149,870",1.2,34.46,"71,670",0.5,19.58,24.57,31.41,41.43,53.44,"40,720","51,100","65,320","86,170","111,150",,
11-9160,Emergency Management Directors,broad,"9,550",1.8,39.70,"82,570",0.8,19.45,25.76,35.78,50.39,67.85,"40,460","53,580","74,420","104,800","141,130",,
11-9161,Emergency Management Directors,detailed,"9,550",1.8,39.70,"82,570",0.8,19.45,25.76,35.78,50.39,67.85,"40,460","53,580","74,420","104,800","141,130",,
11-9190,Miscellaneous Managers,broad,"462,840",0.6,55.57,"115,590",0.3,25.26,36.28,51.67,68.86,88.19,"52,550","75,460","107,480","143,230","183,430",,
11-9199,"Managers, All Other",detailed,"462,840",0.6,55.57,"115,590",0.3,25.26,36.28,51.67,68.86,88.19,"52,550","75,460","107,480","143,230","183,430",,
13-0000,Business and Financial Operations Occupations,major,"7,721,300",0.3,36.98,"76,910",0.2,18.33,24.53,32.86,44.65,59.44,"38,130","51,020","68,350","92,870","123,640",,
13-1000,Business Operations Specialists,minor,"5,022,640",0.3,35.52,"73,890",0.2,17.91,24.02,32.27,43.56,56.96,"37,260","49,950","67,120","90,610","118,480",,
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,"14,830",4.4,43.72,"90,930",3.8,16.08,21.80,31.75,51.79,90.19,"33,440","45,340","66,040","107,720","187,600",,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"14,830",4.4,43.72,"90,930",3.8,16.08,21.80,31.75,51.79,90.19,"33,440","45,340","66,040","107,720","187,600",,
13-1020,Buyers and Purchasing Agents,detailed,"407,410",0.7,32.47,"67,530",0.2,17.83,23.03,30.17,39.63,50.09,"37,080","47,900","62,750","82,430","104,190",,
13-1020,Buyers and Purchasing Agents,broad,"407,410",0.7,32.47,"67,530",0.2,17.83,23.03,30.17,39.63,50.09,"37,080","47,900","62,750","82,430","104,190",,
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"302,930",1.4,32.42,"67,440",0.6,19.15,24.12,31.57,39.02,47.32,"39,830","50,170","65,670","81,170","98,430",,
13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"287,730",1.4,32.47,"67,540",0.6,19.05,24.05,31.68,39.13,47.44,"39,620","50,020","65,900","81,390","98,660",,
13-1032,"Insurance Appraisers, Auto Damage",detailed,"15,200",5.0,31.50,"65,510",0.9,20.75,25.10,30.06,37.22,45.22,"43,170","52,200","62,520","77,410","94,060",,
13-1040,Compliance Officers,broad,"300,900",0.8,34.86,"72,520",0.5,18.42,24.34,33.10,43.74,52.72,"38,320","50,620","68,860","90,980","109,650",,
13-1041,Compliance Officers,detailed,"300,900",0.8,34.86,"72,520",0.5,18.42,24.34,33.10,43.74,52.72,"38,320","50,620","68,860","90,980","109,650",,
13-1050,Cost Estimators,broad,"211,600",0.8,33.52,"69,710",0.3,18.30,23.97,30.79,40.38,51.90,"38,060","49,850","64,040","84,000","107,940",,
13-1051,Cost Estimators,detailed,"211,600",0.8,33.52,"69,710",0.3,18.30,23.97,30.79,40.38,51.90,"38,060","49,850","64,040","84,000","107,940",,
13-1070,Human Resources Workers,broad,"671,140",0.5,32.32,"67,240",0.3,16.88,22.26,29.52,39.08,51.21,"35,100","46,310","61,400","81,290","106,510",,
13-1071,Human Resources Specialists,detailed,"593,790",0.5,32.11,"66,790",0.2,17.44,22.34,29.27,38.52,50.19,"36,270","46,460","60,880","80,120","104,390",,
13-1074,Farm Labor Contractors,detailed,200,14.9,25.45,"52,930",7.0,11.33,15.77,22.19,35.40,43.82,"23,560","32,800","46,150","73,630","91,160",,
13-1075,Labor Relations Specialists,detailed,"77,140",1.8,34.01,"70,730",1.4,9.26,20.94,32.59,44.97,59.30,"19,270","43,560","67,790","93,530","123,340",,
13-1080,Logisticians,broad,"169,820",1.1,37.85,"78,730",0.4,21.36,27.62,35.86,46.15,57.67,"44,440","57,450","74,600","95,980","119,950",,
13-1081,Logisticians,detailed,"169,820",1.1,37.85,"78,730",0.4,21.36,27.62,35.86,46.15,57.67,"44,440","57,450","74,600","95,980","119,950",,
13-1110,Management Analysts,broad,"684,470",0.8,45.38,"94,390",0.5,23.25,30.05,40.20,53.91,73.44,"48,360","62,500","83,610","112,140","152,760",,
13-1111,Management Analysts,detailed,"684,470",0.8,45.38,"94,390",0.5,23.25,30.05,40.20,53.91,73.44,"48,360","62,500","83,610","112,140","152,760",,
13-1120,"Meeting, Convention, and Event Planners",broad,"110,120",1.7,25.83,"53,730",0.7,13.25,17.65,23.74,31.21,40.82,"27,560","36,720","49,370","64,910","84,900",,
13-1121,"Meeting, Convention, and Event Planners",detailed,"110,120",1.7,25.83,"53,730",0.7,13.25,17.65,23.74,31.21,40.82,"27,560","36,720","49,370","64,910","84,900",,
13-1130,Fundraisers,broad,"75,700",1.4,29.62,"61,610",0.8,16.25,20.93,27.38,35.99,46.82,"33,810","43,540","56,950","74,860","97,380",,
13-1131,Fundraisers,detailed,"75,700",1.4,29.62,"61,610",0.8,16.25,20.93,27.38,35.99,46.82,"33,810","43,540","56,950","74,860","97,380",,
13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,"83,550",1.5,32.65,"67,910",0.5,18.88,23.47,30.29,38.75,49.23,"39,270","48,830","63,000","80,590","102,400",,
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"83,550",1.5,32.65,"67,910",0.5,18.88,23.47,30.29,38.75,49.23,"39,270","48,830","63,000","80,590","102,400",,
13-1150,Training and Development Specialists,broad,"291,380",0.8,31.31,"65,120",0.3,15.84,21.38,29.26,38.88,49.40,"32,950","44,480","60,870","80,870","102,740",,
13-1151,Training and Development Specialists,detailed,"291,380",0.8,31.31,"65,120",0.3,15.84,21.38,29.26,38.88,49.40,"32,950","44,480","60,870","80,870","102,740",,
13-1160,Market Research Analysts and Marketing Specialists,broad,"638,200",1.0,34.11,"70,960",0.4,16.50,22.29,30.35,42.63,58.21,"34,310","46,360","63,120","88,680","121,080",,
13-1161,Market Research Analysts and Marketing Specialists,detailed,"638,200",1.0,34.11,"70,960",0.4,16.50,22.29,30.35,42.63,58.21,"34,310","46,360","63,120","88,680","121,080",,
13-1190,Miscellaneous Business Operations Specialists,broad,"1,060,580",0.5,37.00,"76,960",0.3,18.47,25.09,33.91,45.62,59.13,"38,420","52,200","70,530","94,890","123,000",,
13-1199,"Business Operations Specialists, All Other",detailed,"1,060,580",0.5,37.00,"76,960",0.3,18.47,25.09,33.91,45.62,59.13,"38,420","52,200","70,530","94,890","123,000",,
13-2000,Financial Specialists,minor,"2,698,660",0.5,39.69,"82,550",0.3,19.26,25.53,34.02,46.64,64.38,"40,070","53,090","70,770","97,010","133,920",,
13-2010,Accountants and Auditors,broad,"1,259,930",0.7,37.89,"78,820",0.3,20.99,26.48,33.89,44.67,59.06,"43,650","55,070","70,500","92,910","122,840",,
13-2011,Accountants and Auditors,detailed,"1,259,930",0.7,37.89,"78,820",0.3,20.99,26.48,33.89,44.67,59.06,"43,650","55,070","70,500","92,910","122,840",,
13-2020,Appraisers and Assessors of Real Estate,broad,"57,900",2.5,29.75,"61,870",1.3,14.27,19.38,26.43,37.16,49.32,"29,690","40,310","54,980","77,290","102,590",,
13-2021,Appraisers and Assessors of Real Estate,detailed,"57,900",2.5,29.75,"61,870",1.3,14.27,19.38,26.43,37.16,49.32,"29,690","40,310","54,980","77,290","102,590",,
13-2030,Budget Analysts,broad,"52,810",1.1,38.38,"79,830",0.6,23.97,29.19,36.65,46.27,55.91,"49,860","60,720","76,220","96,250","116,300",,
13-2031,Budget Analysts,detailed,"52,810",1.1,38.38,"79,830",0.6,23.97,29.19,36.65,46.27,55.91,"49,860","60,720","76,220","96,250","116,300",,
13-2040,Credit Analysts,broad,"74,820",1.8,39.57,"82,300",0.9,20.72,26.22,34.38,47.20,66.16,"43,100","54,540","71,520","98,180","137,610",,
13-2041,Credit Analysts,detailed,"74,820",1.8,39.57,"82,300",0.9,20.72,26.22,34.38,47.20,66.16,"43,100","54,540","71,520","98,180","137,610",,
13-2050,Financial Analysts and Advisors,broad,"602,500",0.9,50.03,"104,050",0.7,22.29,29.01,39.84,58.39,93.04,"46,370","60,340","82,860","121,460","193,520",,
13-2051,Financial Analysts,detailed,"306,200",1.4,48.55,"100,990",0.9,25.26,31.42,41.18,55.94,80.49,"52,540","65,350","85,660","116,360","167,420",,
13-2052,Personal Financial Advisors,detailed,"200,260",1.5,58.54,"121,770",1.1,19.99,27.54,42.73,75.82,#,"41,590","57,290","88,890","157,710",#,,
13-2053,Insurance Underwriters,detailed,"96,040",2.6,36.96,"76,880",0.7,20.32,25.57,33.36,44.98,59.06,"42,260","53,200","69,380","93,550","122,840",,
13-2060,Financial Examiners,broad,"58,590",1.9,43.42,"90,310",1.5,20.26,27.84,38.55,53.41,74.32,"42,150","57,910","80,180","111,080","154,590",,
13-2061,Financial Examiners,detailed,"58,590",1.9,43.42,"90,310",1.5,20.26,27.84,38.55,53.41,74.32,"42,150","57,910","80,180","111,080","154,590",,
13-2070,Credit Counselors and Loan Officers,broad,"340,690",1.1,35.33,"73,490",0.6,15.21,20.62,29.11,42.46,61.54,"31,630","42,890","60,540","88,320","128,000",,
13-2071,Credit Counselors,detailed,"35,740",3.7,23.95,"49,820",1.1,14.63,17.42,21.72,27.79,36.87,"30,440","36,230","45,180","57,800","76,690",,
13-2072,Loan Officers,detailed,"304,950",1.2,36.67,"76,270",0.6,15.32,21.40,30.31,44.35,63.50,"31,870","44,500","63,040","92,240","132,080",,
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,"122,640",1.6,25.45,"52,930",0.9,11.09,15.47,22.92,32.15,44.45,"23,070","32,170","47,680","66,860","92,450",,
13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"54,550",0.3,29.09,"60,500",0.3,15.63,19.91,26.17,36.45,48.62,"32,500","41,420","54,440","75,820","101,120",,
13-2082,Tax Preparers,detailed,"68,090",2.9,22.53,"46,860",1.6,9.88,12.64,18.94,28.90,39.29,"20,550","26,280","39,390","60,120","81,720",,
13-2090,Miscellaneous Financial Specialists,broad,"128,760",1.2,37.30,"77,580",0.7,18.28,24.57,33.79,45.47,59.31,"38,030","51,100","70,280","94,580","123,360",,
13-2099,"Financial Specialists, All Other",detailed,"128,760",1.2,37.30,"77,580",0.7,18.28,24.57,33.79,45.47,59.31,"38,030","51,100","70,280","94,580","123,360",,
15-0000,Computer and Mathematical Occupations,major,"4,384,300",0.5,44.01,"91,530",0.4,21.41,29.64,41.51,55.98,71.12,"44,530","61,640","86,340","116,440","147,920",,
15-1100,Computer Occupations,minor,"4,214,820",0.5,43.98,"91,480",0.4,21.32,29.58,41.50,56.02,71.15,"44,350","61,520","86,320","116,520","147,990",,
15-1110,Computer and Information Research Scientists,broad,"30,070",3.4,59.54,"123,850",1.3,33.28,44.06,56.91,71.86,88.38,"69,230","91,650","118,370","149,470","183,820",,
15-1111,Computer and Information Research Scientists,detailed,"30,070",3.4,59.54,"123,850",1.3,33.28,44.06,56.91,71.86,88.38,"69,230","91,650","118,370","149,470","183,820",,
15-1120,Computer and Information Analysts,broad,"696,030",0.9,45.67,"94,990",0.3,26.28,33.36,43.31,55.75,70.01,"54,670","69,390","90,080","115,970","145,620",,
15-1121,Computer Systems Analysts,detailed,"587,970",1.0,45.01,"93,610",0.3,26.14,33.04,42.66,54.55,68.38,"54,360","68,730","88,740","113,460","142,220",,
15-1122,Information Security Analysts,detailed,"108,060",2.0,49.26,"102,470",0.5,27.28,35.52,47.28,60.99,75.28,"56,750","73,890","98,350","126,870","156,580",,
15-1130,Software Developers and Programmers,broad,"1,666,270",1.2,50.23,"104,480",0.7,27.20,36.07,48.04,61.70,76.78,"56,570","75,020","99,920","128,330","159,700",,
15-1131,Computer Programmers,detailed,"230,470",2.4,43.07,"89,580",1.3,23.46,30.97,40.52,52.46,64.73,"48,790","64,410","84,280","109,120","134,630",,
15-1132,"Software Developers, Applications",detailed,"903,160",1.6,51.96,"108,080",0.9,29.64,38.14,49.82,62.72,77.54,"61,660","79,340","103,620","130,460","161,290",,
15-1133,"Software Developers, Systems Software",detailed,"405,330",1.3,54.81,"114,000",0.5,32.09,41.16,52.89,67.09,80.27,"66,740","85,610","110,000","139,550","166,960",,
15-1134,Web Developers,detailed,"127,300",1.4,36.34,"75,580",0.7,18.24,24.51,33.38,45.68,59.84,"37,930","50,990","69,430","95,020","124,480",,
15-1140,Database and Systems Administrators and Network Architects,broad,"629,020",0.7,45.09,"93,780",0.2,25.15,32.29,42.79,56.16,70.09,"52,300","67,160","89,000","116,820","145,790",,
15-1141,Database Administrators,detailed,"110,090",1.0,44.25,"92,030",0.3,24.20,31.83,43.31,55.80,66.50,"50,340","66,200","90,070","116,060","138,320",,
15-1142,Network and Computer Systems Administrators,detailed,"366,250",0.8,41.86,"87,070",0.3,24.51,30.78,39.45,50.47,62.85,"50,990","64,010","82,050","104,970","130,720",,
15-1143,Computer Network Architects,detailed,"152,670",1.6,53.43,"111,130",0.6,29.00,39.40,52.41,66.26,78.98,"60,310","81,960","109,020","137,820","164,280",,
15-1150,Computer Support Specialists,broad,"812,060",0.8,27.86,"57,950",0.3,15.56,19.69,25.70,33.84,44.30,"32,350","40,950","53,470","70,380","92,150",,
15-1151,Computer User Support Specialists,detailed,"630,700",0.8,26.46,"55,050",0.4,15.01,18.90,24.51,31.56,40.63,"31,220","39,310","50,980","65,640","84,510",,
15-1152,Computer Network Support Specialists,detailed,"181,360",1.4,32.72,"68,050",0.5,18.40,23.16,30.18,39.56,50.85,"38,270","48,160","62,770","82,290","105,770",,
15-1190,Miscellaneous Computer Occupations,broad,"381,380",0.9,44.88,"93,350",0.4,22.77,31.93,43.40,56.28,69.62,"47,350","66,410","90,270","117,070","144,820",,
15-1199,"Computer Occupations, All Other",detailed,"381,380",0.9,44.88,"93,350",0.4,22.77,31.93,43.40,56.28,69.62,"47,350","66,410","90,270","117,070","144,820",,
15-2000,Mathematical Science Occupations,minor,"169,480",1.5,44.63,"92,830",0.4,23.64,30.94,41.68,55.09,70.09,"49,180","64,360","86,700","114,590","145,790",,
15-2010,Actuaries,broad,"20,760",4.4,55.89,"116,250",1.2,29.40,36.88,49.46,68.15,89.47,"61,140","76,720","102,880","141,760","186,110",,
15-2011,Actuaries,detailed,"20,760",4.4,55.89,"116,250",1.2,29.40,36.88,49.46,68.15,89.47,"61,140","76,720","102,880","141,760","186,110",,
15-2020,Mathematicians,broad,"2,580",5.6,50.42,"104,870",1.7,27.48,35.33,48.99,60.61,77.19,"57,150","73,490","101,900","126,070","160,550",,
15-2021,Mathematicians,detailed,"2,580",5.6,50.42,"104,870",1.7,27.48,35.33,48.99,60.61,77.19,"57,150","73,490","101,900","126,070","160,550",,
15-2030,Operations Research Analysts,broad,"104,200",1.8,42.48,"88,350",0.5,22.50,29.46,40.09,52.73,65.51,"46,810","61,280","83,390","109,670","136,250",,
15-2031,Operations Research Analysts,detailed,"104,200",1.8,42.48,"88,350",0.5,22.50,29.46,40.09,52.73,65.51,"46,810","61,280","83,390","109,670","136,250",,
15-2040,Statisticians,broad,"39,920",2.0,44.52,"92,600",0.7,25.48,32.43,42.20,54.65,67.00,"53,000","67,440","87,780","113,670","139,350",,
15-2041,Statisticians,detailed,"39,920",2.0,44.52,"92,600",0.7,25.48,32.43,42.20,54.65,67.00,"53,000","67,440","87,780","113,670","139,350",,
15-2090,Miscellaneous Mathematical Science Occupations,detailed,"2,010",6.0,34.80,"72,390",3.2,14.65,18.06,27.50,42.80,71.00,"30,460","37,570","57,190","89,030","147,670",,
15-2090,Miscellaneous Mathematical Science Occupations,broad,"2,010",6.0,34.80,"72,390",3.2,14.65,18.06,27.50,42.80,71.00,"30,460","37,570","57,190","89,030","147,670",,
17-0000,Architecture and Engineering Occupations,major,"2,556,220",0.5,42.01,"87,370",0.3,21.33,28.72,38.55,51.81,66.98,"44,360","59,750","80,170","107,760","139,320",,
17-1000,"Architects, Surveyors, and Cartographers",minor,"179,380",1.1,38.61,"80,300",0.7,20.22,26.67,35.20,46.52,60.21,"42,070","55,470","73,210","96,770","125,240",,
17-1010,"Architects, Except Naval",broad,"123,020",1.5,41.58,"86,480",0.9,22.31,28.70,37.37,49.20,63.86,"46,410","59,690","77,730","102,330","132,840",,
